 주택용(저압) 사용량별 요금표 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 [ 기타계절(7~8월 제외) ] ,,,,,,,," *기후환경요금단가는 매년, 연료비조정단가는 매분기 변동됨 ",,, [ 하계(7~8월) ] ,,,,,,,," *기후환경요금단가는 매년, 연료비조정단가는 매분기 변동됨 "
" 사용량
(kWh) ", 기본요금 , 전력량요금 ," 기후환경요금
(2023.1.1기준) "," 연료비조정요금
(2023.1.1기준) ", 전기요금계 , 부가세 , 기반기금 , 청구금액 ,,," 사용량
(kWh) ", 기본요금 , 전력량요금 ," 기후환경요금
(2023.1.1기준) "," 연료비조정요금
(2023.1.1기준) ", 전기요금계 , 부가세 , 기반기금 , 청구금액 
279,"  1,600 ","  38,721 ","  2,511 ","  1,395 ","  44,227 ","  4,423 ","  1,630 ","  50,280 ",,,279,  910 ,"  31,248 ","  2,511 ","  1,395 ","  36,064 ","  3,606 ","  1,330 ","  41,000 "
280,"  1,600 ","  38,928 ","  2,520 ","  1,400 ","  44,448 ","  4,445 ","  1,640 ","  50,530 ",,,280,  910 ,"  31,360 ","  2,520 ","  1,400 ","  36,190 ","  3,619 ","  1,330 ","  41,130 "
281,"  1,600 ","  39,134 ","  2,529 ","  1,405 ","  44,668 ","  4,467 ","  1,650 ","  50,780 ",,,281,  910 ,"  31,472 ","  2,529 ","  1,405 ","  36,316 ","  3,632 ","  1,340 ","  41,280 "
282,"  1,600 ","  39,341 ","  2,538 ","  1,410 ","  44,889 ","  4,489 ","  1,660 ","  51,030 ",,,282,  910 ,"  31,584 ","  2,538 ","  1,410 ","  36,442 ","  3,644 ","  1,340 ","  41,420 "
283,"  1,600 ","  39,547 ","  2,547 ","  1,415 ","  45,109 ","  4,511 ","  1,660 ","  51,280 ",,,283,  910 ,"  31,696 ","  2,547 ","  1,415 ","  36,568 ","  3,657 ","  1,350 ","  41,570 "
284,"  1,600 ","  39,754 ","  2,556 ","  1,420 ","  45,330 ","  4,533 ","  1,670 ","  51,530 ",,,284,  910 ,"  31,808 ","  2,556 ","  1,420 ","  36,694 ","  3,669 ","  1,350 ","  41,710 "
285,"  1,600 ","  39,961 ","  2,565 ","  1,425 ","  45,551 ","  4,555 ","  1,680 ","  51,780 ",,,285,  910 ,"  31,920 ","  2,565 ","  1,425 ","  36,820 ","  3,682 ","  1,360 ","  41,860 "
286,"  1,600 ","  40,167 ","  2,574 ","  1,430 ","  45,771 ","  4,577 ","  1,690 ","  52,030 ",,,286,  910 ,"  32,032 ","  2,574 ","  1,430 ","  36,946 ","  3,695 ","  1,360 ","  42,000 "
287,"  1,600 ","  40,374 ","  2,583 ","  1,435 ","  45,992 ","  4,599 ","  1,700 ","  52,290 ",,,287,  910 ,"  32,144 ","  2,583 ","  1,435 ","  37,072 ","  3,707 ","  1,370 ","  42,140 "
288,"  1,600 ","  40,580 ","  2,592 ","  1,440 ","  46,212 ","  4,621 ","  1,700 ","  52,530 ",,,288,  910 ,"  32,256 ","  2,592 ","  1,440 ","  37,198 ","  3,720 ","  1,370 ","  42,280 "
289,"  1,600 ","  40,787 ","  2,601 ","  1,445 ","  46,433 ","  4,643 ","  1,710 ","  52,780 ",,,289,  910 ,"  32,368 ","  2,601 ","  1,445 ","  37,324 ","  3,732 ","  1,380 ","  42,430 "
290,"  1,600 ","  40,994 ","  2,610 ","  1,450 ","  46,654 ","  4,665 ","  1,720 ","  53,030 ",,,290,  910 ,"  32,480 ","  2,610 ","  1,450 ","  37,450 ","  3,745 ","  1,380 ","  42,570 "
291,"  1,600 ","  41,200 ","  2,619 ","  1,455 ","  46,874 ","  4,687 ","  1,730 ","  53,290 ",,,291,  910 ,"  32,592 ","  2,619 ","  1,455 ","  37,576 ","  3,758 ","  1,390 ","  42,720 "
292,"  1,600 ","  41,407 ","  2,628 ","  1,460 ","  47,095 ","  4,710 ","  1,740 ","  53,540 ",,,292,  910 ,"  32,704 ","  2,628 ","  1,460 ","  37,702 ","  3,770 ","  1,390 ","  42,860 "
293,"  1,600 ","  41,613 ","  2,637 ","  1,465 ","  47,315 ","  4,732 ","  1,750 ","  53,790 ",,,293,  910 ,"  32,816 ","  2,637 ","  1,465 ","  37,828 ","  3,783 ","  1,390 ","  43,000 "
294,"  1,600 ","  41,820 ","  2,646 ","  1,470 ","  47,536 ","  4,754 ","  1,750 ","  54,040 ",,,294,  910 ,"  32,928 ","  2,646 ","  1,470 ","  37,954 ","  3,795 ","  1,400 ","  43,140 "
295,"  1,600 ","  42,027 ","  2,655 ","  1,475 ","  47,757 ","  4,776 ","  1,760 ","  54,290 ",,,295,  910 ,"  33,040 ","  2,655 ","  1,475 ","  38,080 ","  3,808 ","  1,400 ","  43,280 "
296,"  1,600 ","  42,233 ","  2,664 ","  1,480 ","  47,977 ","  4,798 ","  1,770 ","  54,540 ",,,296,  910 ,"  33,152 ","  2,664 ","  1,480 ","  38,206 ","  3,821 ","  1,410 ","  43,430 "
297,"  1,600 ","  42,440 ","  2,673 ","  1,485 ","  48,198 ","  4,820 ","  1,780 ","  54,790 ",,,297,  910 ,"  33,264 ","  2,673 ","  1,485 ","  38,332 ","  3,833 ","  1,410 ","  43,570 "
298,"  1,600 ","  42,646 ","  2,682 ","  1,490 ","  48,418 ","  4,842 ","  1,790 ","  55,050 ",,,298,  910 ,"  33,376 ","  2,682 ","  1,490 ","  38,458 ","  3,846 ","  1,420 ","  43,720 "
299,"  1,600 ","  42,853 ","  2,691 ","  1,495 ","  48,639 ","  4,864 ","  1,790 ","  55,290 ",,,299,  910 ,"  33,488 ","  2,691 ","  1,495 ","  38,584 ","  3,858 ","  1,420 ","  43,860 "
300,"  1,600 ","  43,060 ","  2,700 ","  1,500 ","  48,860 ","  4,886 ","  1,800 ","  55,540 ",,,300,  910 ,"  33,600 ","  2,700 ","  1,500 ","  38,710 ","  3,871 ","  1,430 ","  44,010 "
301,"  1,600 ","  43,266 ","  2,709 ","  1,505 ","  49,080 ","  4,908 ","  1,810 ","  55,790 ",,,301,"  1,600 ","  33,806 ","  2,709 ","  1,505 ","  39,620 ","  3,962 ","  1,460 ","  45,040 "
302,"  1,600 ","  43,473 ","  2,718 ","  1,510 ","  49,301 ","  4,930 ","  1,820 ","  56,050 ",,,302,"  1,600 ","  34,013 ","  2,718 ","  1,510 ","  39,841 ","  3,984 ","  1,470 ","  45,290 "
303,"  1,600 ","  43,679 ","  2,727 ","  1,515 ","  49,521 ","  4,952 ","  1,830 ","  56,300 ",,,303,"  1,600 ","  34,219 ","  2,727 ","  1,515 ","  40,061 ","  4,006 ","  1,480 ","  45,540 "
304,"  1,600 ","  43,886 ","  2,736 ","  1,520 ","  49,742 ","  4,974 ","  1,840 ","  56,550 ",,,304,"  1,600 ","  34,426 ","  2,736 ","  1,520 ","  40,282 ","  4,028 ","  1,490 ","  45,800 "
305,"  1,600 ","  44,093 ","  2,745 ","  1,525 ","  49,963 ","  4,996 ","  1,840 ","  56,790 ",,,305,"  1,600 ","  34,633 ","  2,745 ","  1,525 ","  40,503 ","  4,050 ","  1,490 ","  46,040 "
306,"  1,600 ","  44,299 ","  2,754 ","  1,530 ","  50,183 ","  5,018 ","  1,850 ","  57,050 ",,,306,"  1,600 ","  34,839 ","  2,754 ","  1,530 ","  40,723 ","  4,072 ","  1,500 ","  46,290 "
307,"  1,600 ","  44,506 ","  2,763 ","  1,535 ","  50,404 ","  5,040 ","  1,860 ","  57,300 ",,,307,"  1,600 ","  35,046 ","  2,763 ","  1,535 ","  40,944 ","  4,094 ","  1,510 ","  46,540 "
308,"  1,600 ","  44,712 ","  2,772 ","  1,540 ","  50,624 ","  5,062 ","  1,870 ","  57,550 ",,,308,"  1,600 ","  35,252 ","  2,772 ","  1,540 ","  41,164 ","  4,116 ","  1,520 ","  46,800 "
309,"  1,600 ","  44,919 ","  2,781 ","  1,545 ","  50,845 ","  5,085 ","  1,880 ","  57,810 ",,,309,"  1,600 ","  35,459 ","  2,781 ","  1,545 ","  41,385 ","  4,139 ","  1,530 ","  47,050 "
310,"  1,600 ","  45,126 ","  2,790 ","  1,550 ","  51,066 ","  5,107 ","  1,880 ","  58,050 ",,,310,"  1,600 ","  35,666 ","  2,790 ","  1,550 ","  41,606 ","  4,161 ","  1,530 ","  47,290 "
311,"  1,600 ","  45,332 ","  2,799 ","  1,555 ","  51,286 ","  5,129 ","  1,890 ","  58,300 ",,,311,"  1,600 ","  35,872 ","  2,799 ","  1,555 ","  41,826 ","  4,183 ","  1,540 ","  47,540 "
312,"  1,600 ","  45,539 ","  2,808 ","  1,560 ","  51,507 ","  5,151 ","  1,900 ","  58,550 ",,,312,"  1,600 ","  36,079 ","  2,808 ","  1,560 ","  42,047 ","  4,205 ","  1,550 ","  47,800 "
313,"  1,600 ","  45,745 ","  2,817 ","  1,565 ","  51,727 ","  5,173 ","  1,910 ","  58,810 ",,,313,"  1,600 ","  36,285 ","  2,817 ","  1,565 ","  42,267 ","  4,227 ","  1,560 ","  48,050 "
314,"  1,600 ","  45,952 ","  2,826 ","  1,570 ","  51,948 ","  5,195 ","  1,920 ","  59,060 ",,,314,"  1,600 ","  36,492 ","  2,826 ","  1,570 ","  42,488 ","  4,249 ","  1,570 ","  48,300 "
315,"  1,600 ","  46,159 ","  2,835 ","  1,575 ","  52,169 ","  5,217 ","  1,930 ","  59,310 ",,,315,"  1,600 ","  36,699 ","  2,835 ","  1,575 ","  42,709 ","  4,271 ","  1,580 ","  48,560 "
316,"  1,600 ","  46,365 ","  2,844 ","  1,580 ","  52,389 ","  5,239 ","  1,930 ","  59,550 ",,,316,"  1,600 ","  36,905 ","  2,844 ","  1,580 ","  42,929 ","  4,293 ","  1,580 ","  48,800 "
317,"  1,600 ","  46,572 ","  2,853 ","  1,585 ","  52,610 ","  5,261 ","  1,940 ","  59,810 ",,,317,"  1,600 ","  37,112 ","  2,853 ","  1,585 ","  43,150 ","  4,315 ","  1,590 ","  49,050 "
318,"  1,600 ","  46,778 ","  2,862 ","  1,590 ","  52,830 ","  5,283 ","  1,950 ","  60,060 ",,,318,"  1,600 ","  37,318 ","  2,862 ","  1,590 ","  43,370 ","  4,337 ","  1,600 ","  49,300 "
319,"  1,600 ","  46,985 ","  2,871 ","  1,595 ","  53,051 ","  5,305 ","  1,960 ","  60,310 ",,,319,"  1,600 ","  37,525 ","  2,871 ","  1,595 ","  43,591 ","  4,359 ","  1,610 ","  49,560 "
320,"  1,600 ","  47,192 ","  2,880 ","  1,600 ","  53,272 ","  5,327 ","  1,970 ","  60,560 ",,,320,"  1,600 ","  37,732 ","  2,880 ","  1,600 ","  43,812 ","  4,381 ","  1,620 ","  49,810 "
321,"  1,600 ","  47,398 ","  2,889 ","  1,605 ","  53,492 ","  5,349 ","  1,970 ","  60,810 ",,,321,"  1,600 ","  37,938 ","  2,889 ","  1,605 ","  44,032 ","  4,403 ","  1,620 ","  50,050 "
322,"  1,600 ","  47,605 ","  2,898 ","  1,610 ","  53,713 ","  5,371 ","  1,980 ","  61,060 ",,,322,"  1,600 ","  38,145 ","  2,898 ","  1,610 ","  44,253 ","  4,425 ","  1,630 ","  50,300 "
323,"  1,600 ","  47,811 ","  2,907 ","  1,615 ","  53,933 ","  5,393 ","  1,990 ","  61,310 ",,,323,"  1,600 ","  38,351 ","  2,907 ","  1,615 ","  44,473 ","  4,447 ","  1,640 ","  50,560 "
324,"  1,600 ","  48,018 ","  2,916 ","  1,620 ","  54,154 ","  5,415 ","  2,000 ","  61,560 ",,,324,"  1,600 ","  38,558 ","  2,916 ","  1,620 ","  44,694 ","  4,469 ","  1,650 ","  50,810 "
325,"  1,600 ","  48,225 ","  2,925 ","  1,625 ","  54,375 ","  5,438 ","  2,010 ","  61,820 ",,,325,"  1,600 ","  38,765 ","  2,925 ","  1,625 ","  44,915 ","  4,492 ","  1,660 ","  51,060 "
326,"  1,600 ","  48,431 ","  2,934 ","  1,630 ","  54,595 ","  5,460 ","  2,020 ","  62,070 ",,,326,"  1,600 ","  38,971 ","  2,934 ","  1,630 ","  45,135 ","  4,514 ","  1,660 ","  51,300 "
327,"  1,600 ","  48,638 ","  2,943 ","  1,635 ","  54,816 ","  5,482 ","  2,020 ","  62,310 ",,,327,"  1,600 ","  39,178 ","  2,943 ","  1,635 ","  45,356 ","  4,536 ","  1,670 ","  51,560 "
328,"  1,600 ","  48,844 ","  2,952 ","  1,640 ","  55,036 ","  5,504 ","  2,030 ","  62,570 ",,,328,"  1,600 ","  39,384 ","  2,952 ","  1,640 ","  45,576 ","  4,558 ","  1,680 ","  51,810 "
329,"  1,600 ","  49,051 ","  2,961 ","  1,645 ","  55,257 ","  5,526 ","  2,040 ","  62,820 ",,,329,"  1,600 ","  39,591 ","  2,961 ","  1,645 ","  45,797 ","  4,580 ","  1,690 ","  52,060 "
330,"  1,600 ","  49,258 ","  2,970 ","  1,650 ","  55,478 ","  5,548 ","  2,050 ","  63,070 ",,,330,"  1,600 ","  39,798 ","  2,970 ","  1,650 ","  46,018 ","  4,602 ","  1,700 ","  52,320 "
331,"  1,600 ","  49,464 ","  2,979 ","  1,655 ","  55,698 ","  5,570 ","  2,060 ","  63,320 ",,,331,"  1,600 ","  40,004 ","  2,979 ","  1,655 ","  46,238 ","  4,624 ","  1,710 ","  52,570 "
332,"  1,600 ","  49,671 ","  2,988 ","  1,660 ","  55,919 ","  5,592 ","  2,060 ","  63,570 ",,,332,"  1,600 ","  40,211 ","  2,988 ","  1,660 ","  46,459 ","  4,646 ","  1,710 ","  52,810 "
333,"  1,600 ","  49,877 ","  2,997 ","  1,665 ","  56,139 ","  5,614 ","  2,070 ","  63,820 ",,,333,"  1,600 ","  40,417 ","  2,997 ","  1,665 ","  46,679 ","  4,668 ","  1,720 ","  53,060 "
334,"  1,600 ","  50,084 ","  3,006 ","  1,670 ","  56,360 ","  5,636 ","  2,080 ","  64,070 ",,,334,"  1,600 ","  40,624 ","  3,006 ","  1,670 ","  46,900 ","  4,690 ","  1,730 ","  53,320 "
335,"  1,600 ","  50,291 ","  3,015 ","  1,675 ","  56,581 ","  5,658 ","  2,090 ","  64,320 ",,,335,"  1,600 ","  40,831 ","  3,015 ","  1,675 ","  47,121 ","  4,712 ","  1,740 ","  53,570 "
336,"  1,600 ","  50,497 ","  3,024 ","  1,680 ","  56,801 ","  5,680 ","  2,100 ","  64,580 ",,,336,"  1,600 ","  41,037 ","  3,024 ","  1,680 ","  47,341 ","  4,734 ","  1,750 ","  53,820 "
337,"  1,600 ","  50,704 ","  3,033 ","  1,685 ","  57,022 ","  5,702 ","  2,100 ","  64,820 ",,,337,"  1,600 ","  41,244 ","  3,033 ","  1,685 ","  47,562 ","  4,756 ","  1,750 ","  54,060 "
338,"  1,600 ","  50,910 ","  3,042 ","  1,690 ","  57,242 ","  5,724 ","  2,110 ","  65,070 ",,,338,"  1,600 ","  41,450 ","  3,042 ","  1,690 ","  47,782 ","  4,778 ","  1,760 ","  54,320 "
339,"  1,600 ","  51,117 ","  3,051 ","  1,695 ","  57,463 ","  5,746 ","  2,120 ","  65,320 ",,,339,"  1,600 ","  41,657 ","  3,051 ","  1,695 ","  48,003 ","  4,800 ","  1,770 ","  54,570 "
340,"  1,600 ","  51,324 ","  3,060 ","  1,700 ","  57,684 ","  5,768 ","  2,130 ","  65,580 ",,,340,"  1,600 ","  41,864 ","  3,060 ","  1,700 ","  48,224 ","  4,822 ","  1,780 ","  54,820 "
341,"  1,600 ","  51,530 ","  3,069 ","  1,705 ","  57,904 ","  5,790 ","  2,140 ","  65,830 ",,,341,"  1,600 ","  42,070 ","  3,069 ","  1,705 ","  48,444 ","  4,844 ","  1,790 ","  55,070 "
342,"  1,600 ","  51,737 ","  3,078 ","  1,710 ","  58,125 ","  5,813 ","  2,150 ","  66,080 ",,,342,"  1,600 ","  42,277 ","  3,078 ","  1,710 ","  48,665 ","  4,867 ","  1,800 ","  55,330 "
343,"  1,600 ","  51,943 ","  3,087 ","  1,715 ","  58,345 ","  5,835 ","  2,150 ","  66,330 ",,,343,"  1,600 ","  42,483 ","  3,087 ","  1,715 ","  48,885 ","  4,889 ","  1,800 ","  55,570 "
344,"  1,600 ","  52,150 ","  3,096 ","  1,720 ","  58,566 ","  5,857 ","  2,160 ","  66,580 ",,,344,"  1,600 ","  42,690 ","  3,096 ","  1,720 ","  49,106 ","  4,911 ","  1,810 ","  55,820 "
345,"  1,600 ","  52,357 ","  3,105 ","  1,725 ","  58,787 ","  5,879 ","  2,170 ","  66,830 ",,,345,"  1,600 ","  42,897 ","  3,105 ","  1,725 ","  49,327 ","  4,933 ","  1,820 ","  56,080 "
346,"  1,600 ","  52,563 ","  3,114 ","  1,730 ","  59,007 ","  5,901 ","  2,180 ","  67,080 ",,,346,"  1,600 ","  43,103 ","  3,114 ","  1,730 ","  49,547 ","  4,955 ","  1,830 ","  56,330 "
347,"  1,600 ","  52,770 ","  3,123 ","  1,735 ","  59,228 ","  5,923 ","  2,190 ","  67,340 ",,,347,"  1,600 ","  43,310 ","  3,123 ","  1,735 ","  49,768 ","  4,977 ","  1,840 ","  56,580 "
348,"  1,600 ","  52,976 ","  3,132 ","  1,740 ","  59,448 ","  5,945 ","  2,190 ","  67,580 ",,,348,"  1,600 ","  43,516 ","  3,132 ","  1,740 ","  49,988 ","  4,999 ","  1,840 ","  56,820 "
349,"  1,600 ","  53,183 ","  3,141 ","  1,745 ","  59,669 ","  5,967 ","  2,200 ","  67,830 ",,,349,"  1,600 ","  43,723 ","  3,141 ","  1,745 ","  50,209 ","  5,021 ","  1,850 ","  57,080 "
350,"  1,600 ","  53,390 ","  3,150 ","  1,750 ","  59,890 ","  5,989 ","  2,210 ","  68,080 ",,,350,"  1,600 ","  43,930 ","  3,150 ","  1,750 ","  50,430 ","  5,043 ","  1,860 ","  57,330 "
351,"  1,600 ","  53,596 ","  3,159 ","  1,755 ","  60,110 ","  6,011 ","  2,220 ","  68,340 ",,,351,"  1,600 ","  44,136 ","  3,159 ","  1,755 ","  50,650 ","  5,065 ","  1,870 ","  57,580 "
352,"  1,600 ","  53,803 ","  3,168 ","  1,760 ","  60,331 ","  6,033 ","  2,230 ","  68,590 ",,,352,"  1,600 ","  44,343 ","  3,168 ","  1,760 ","  50,871 ","  5,087 ","  1,880 ","  57,830 "
353,"  1,600 ","  54,009 ","  3,177 ","  1,765 ","  60,551 ","  6,055 ","  2,240 ","  68,840 ",,,353,"  1,600 ","  44,549 ","  3,177 ","  1,765 ","  51,091 ","  5,109 ","  1,890 ","  58,090 "
354,"  1,600 ","  54,216 ","  3,186 ","  1,770 ","  60,772 ","  6,077 ","  2,240 ","  69,080 ",,,354,"  1,600 ","  44,756 ","  3,186 ","  1,770 ","  51,312 ","  5,131 ","  1,890 ","  58,330 "
355,"  1,600 ","  54,423 ","  3,195 ","  1,775 ","  60,993 ","  6,099 ","  2,250 ","  69,340 ",,,355,"  1,600 ","  44,963 ","  3,195 ","  1,775 ","  51,533 ","  5,153 ","  1,900 ","  58,580 "
356,"  1,600 ","  54,629 ","  3,204 ","  1,780 ","  61,213 ","  6,121 ","  2,260 ","  69,590 ",,,356,"  1,600 ","  45,169 ","  3,204 ","  1,780 ","  51,753 ","  5,175 ","  1,910 ","  58,830 "
357,"  1,600 ","  54,836 ","  3,213 ","  1,785 ","  61,434 ","  6,143 ","  2,270 ","  69,840 ",,,357,"  1,600 ","  45,376 ","  3,213 ","  1,785 ","  51,974 ","  5,197 ","  1,920 ","  59,090 "
358,"  1,600 ","  55,042 ","  3,222 ","  1,790 ","  61,654 ","  6,165 ","  2,280 ","  70,090 ",,,358,"  1,600 ","  45,582 ","  3,222 ","  1,790 ","  52,194 ","  5,219 ","  1,930 ","  59,340 "
359,"  1,600 ","  55,249 ","  3,231 ","  1,795 ","  61,875 ","  6,188 ","  2,280 ","  70,340 ",,,359,"  1,600 ","  45,789 ","  3,231 ","  1,795 ","  52,415 ","  5,242 ","  1,930 ","  59,580 "
360,"  1,600 ","  55,456 ","  3,240 ","  1,800 ","  62,096 ","  6,210 ","  2,290 ","  70,590 ",,,360,"  1,600 ","  45,996 ","  3,240 ","  1,800 ","  52,636 ","  5,264 ","  1,940 ","  59,840 "
361,"  1,600 ","  55,662 ","  3,249 ","  1,805 ","  62,316 ","  6,232 ","  2,300 ","  70,840 ",,,361,"  1,600 ","  46,202 ","  3,249 ","  1,805 ","  52,856 ","  5,286 ","  1,950 ","  60,090 "
362,"  1,600 ","  55,869 ","  3,258 ","  1,810 ","  62,537 ","  6,254 ","  2,310 ","  71,100 ",,,362,"  1,600 ","  46,409 ","  3,258 ","  1,810 ","  53,077 ","  5,308 ","  1,960 ","  60,340 "
363,"  1,600 ","  56,075 ","  3,267 ","  1,815 ","  62,757 ","  6,276 ","  2,320 ","  71,350 ",,,363,"  1,600 ","  46,615 ","  3,267 ","  1,815 ","  53,297 ","  5,330 ","  1,970 ","  60,590 "
364,"  1,600 ","  56,282 ","  3,276 ","  1,820 ","  62,978 ","  6,298 ","  2,330 ","  71,600 ",,,364,"  1,600 ","  46,822 ","  3,276 ","  1,820 ","  53,518 ","  5,352 ","  1,980 ","  60,850 "
365,"  1,600 ","  56,489 ","  3,285 ","  1,825 ","  63,199 ","  6,320 ","  2,330 ","  71,840 ",,,365,"  1,600 ","  47,029 ","  3,285 ","  1,825 ","  53,739 ","  5,374 ","  1,980 ","  61,090 "
366,"  1,600 ","  56,695 ","  3,294 ","  1,830 ","  63,419 ","  6,342 ","  2,340 ","  72,100 ",,,366,"  1,600 ","  47,235 ","  3,294 ","  1,830 ","  53,959 ","  5,396 ","  1,990 ","  61,340 "
367,"  1,600 ","  56,902 ","  3,303 ","  1,835 ","  63,640 ","  6,364 ","  2,350 ","  72,350 ",,,367,"  1,600 ","  47,442 ","  3,303 ","  1,835 ","  54,180 ","  5,418 ","  2,000 ","  61,590 "
368,"  1,600 ","  57,108 ","  3,312 ","  1,840 ","  63,860 ","  6,386 ","  2,360 ","  72,600 ",,,368,"  1,600 ","  47,648 ","  3,312 ","  1,840 ","  54,400 ","  5,440 ","  2,010 ","  61,850 "
369,"  1,600 ","  57,315 ","  3,321 ","  1,845 ","  64,081 ","  6,408 ","  2,370 ","  72,850 ",,,369,"  1,600 ","  47,855 ","  3,321 ","  1,845 ","  54,621 ","  5,462 ","  2,020 ","  62,100 "
370,"  1,600 ","  57,522 ","  3,330 ","  1,850 ","  64,302 ","  6,430 ","  2,370 ","  73,100 ",,,370,"  1,600 ","  48,062 ","  3,330 ","  1,850 ","  54,842 ","  5,484 ","  2,020 ","  62,340 "
371,"  1,600 ","  57,728 ","  3,339 ","  1,855 ","  64,522 ","  6,452 ","  2,380 ","  73,350 ",,,371,"  1,600 ","  48,268 ","  3,339 ","  1,855 ","  55,062 ","  5,506 ","  2,030 ","  62,590 "
372,"  1,600 ","  57,935 ","  3,348 ","  1,860 ","  64,743 ","  6,474 ","  2,390 ","  73,600 ",,,372,"  1,600 ","  48,475 ","  3,348 ","  1,860 ","  55,283 ","  5,528 ","  2,040 ","  62,850 "
373,"  1,600 ","  58,141 ","  3,357 ","  1,865 ","  64,963 ","  6,496 ","  2,400 ","  73,850 ",,,373,"  1,600 ","  48,681 ","  3,357 ","  1,865 ","  55,503 ","  5,550 ","  2,050 ","  63,100 "
374,"  1,600 ","  58,348 ","  3,366 ","  1,870 ","  65,184 ","  6,518 ","  2,410 ","  74,110 ",,,374,"  1,600 ","  48,888 ","  3,366 ","  1,870 ","  55,724 ","  5,572 ","  2,060 ","  63,350 "
375,"  1,600 ","  58,555 ","  3,375 ","  1,875 ","  65,405 ","  6,541 ","  2,410 ","  74,350 ",,,375,"  1,600 ","  49,095 ","  3,375 ","  1,875 ","  55,945 ","  5,595 ","  2,060 ","  63,600 "
376,"  1,600 ","  58,761 ","  3,384 ","  1,880 ","  65,625 ","  6,563 ","  2,420 ","  74,600 ",,,376,"  1,600 ","  49,301 ","  3,384 ","  1,880 ","  56,165 ","  5,617 ","  2,070 ","  63,850 "
377,"  1,600 ","  58,968 ","  3,393 ","  1,885 ","  65,846 ","  6,585 ","  2,430 ","  74,860 ",,,377,"  1,600 ","  49,508 ","  3,393 ","  1,885 ","  56,386 ","  5,639 ","  2,080 ","  64,100 "
378,"  1,600 ","  59,174 ","  3,402 ","  1,890 ","  66,066 ","  6,607 ","  2,440 ","  75,110 ",,,378,"  1,600 ","  49,714 ","  3,402 ","  1,890 ","  56,606 ","  5,661 ","  2,090 ","  64,350 "
379,"  1,600 ","  59,381 ","  3,411 ","  1,895 ","  66,287 ","  6,629 ","  2,450 ","  75,360 ",,,379,"  1,600 ","  49,921 ","  3,411 ","  1,895 ","  56,827 ","  5,683 ","  2,100 ","  64,610 "
380,"  1,600 ","  59,588 ","  3,420 ","  1,900 ","  66,508 ","  6,651 ","  2,460 ","  75,610 ",,,380,"  1,600 ","  50,128 ","  3,420 ","  1,900 ","  57,048 ","  5,705 ","  2,110 ","  64,860 "
381,"  1,600 ","  59,794 ","  3,429 ","  1,905 ","  66,728 ","  6,673 ","  2,460 ","  75,860 ",,,381,"  1,600 ","  50,334 ","  3,429 ","  1,905 ","  57,268 ","  5,727 ","  2,110 ","  65,100 "
382,"  1,600 ","  60,001 ","  3,438 ","  1,910 ","  66,949 ","  6,695 ","  2,470 ","  76,110 ",,,382,"  1,600 ","  50,541 ","  3,438 ","  1,910 ","  57,489 ","  5,749 ","  2,120 ","  65,350 "
383,"  1,600 ","  60,207 ","  3,447 ","  1,915 ","  67,169 ","  6,717 ","  2,480 ","  76,360 ",,,383,"  1,600 ","  50,747 ","  3,447 ","  1,915 ","  57,709 ","  5,771 ","  2,130 ","  65,610 "
384,"  1,600 ","  60,414 ","  3,456 ","  1,920 ","  67,390 ","  6,739 ","  2,490 ","  76,610 ",,,384,"  1,600 ","  50,954 ","  3,456 ","  1,920 ","  57,930 ","  5,793 ","  2,140 ","  65,860 "
385,"  1,600 ","  60,621 ","  3,465 ","  1,925 ","  67,611 ","  6,761 ","  2,500 ","  76,870 ",,,385,"  1,600 ","  51,161 ","  3,465 ","  1,925 ","  58,151 ","  5,815 ","  2,150 ","  66,110 "
386,"  1,600 ","  60,827 ","  3,474 ","  1,930 ","  67,831 ","  6,783 ","  2,500 ","  77,110 ",,,386,"  1,600 ","  51,367 ","  3,474 ","  1,930 ","  58,371 ","  5,837 ","  2,150 ","  66,350 "
387,"  1,600 ","  61,034 ","  3,483 ","  1,935 ","  68,052 ","  6,805 ","  2,510 ","  77,360 ",,,387,"  1,600 ","  51,574 ","  3,483 ","  1,935 ","  58,592 ","  5,859 ","  2,160 ","  66,610 "
388,"  1,600 ","  61,240 ","  3,492 ","  1,940 ","  68,272 ","  6,827 ","  2,520 ","  77,610 ",,,388,"  1,600 ","  51,780 ","  3,492 ","  1,940 ","  58,812 ","  5,881 ","  2,170 ","  66,860 "
389,"  1,600 ","  61,447 ","  3,501 ","  1,945 ","  68,493 ","  6,849 ","  2,530 ","  77,870 ",,,389,"  1,600 ","  51,987 ","  3,501 ","  1,945 ","  59,033 ","  5,903 ","  2,180 ","  67,110 "
390,"  1,600 ","  61,654 ","  3,510 ","  1,950 ","  68,714 ","  6,871 ","  2,540 ","  78,120 ",,,390,"  1,600 ","  52,194 ","  3,510 ","  1,950 ","  59,254 ","  5,925 ","  2,190 ","  67,360 "
391,"  1,600 ","  61,860 ","  3,519 ","  1,955 ","  68,934 ","  6,893 ","  2,550 ","  78,370 ",,,391,"  1,600 ","  52,400 ","  3,519 ","  1,955 ","  59,474 ","  5,947 ","  2,200 ","  67,620 "
